"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"431","DAL","DAL vs. HOU",2021-10-26,"W",240,116,43,93,46.2,12,43,27.9,18,25,72,14,36,50,25,9,7,15,22,10,"H"
"432","HOU","HOU @ DAL",2021-10-26,"L",240,106,36,86,41.9,16,39,41,18,26,69.2,11,38,49,24,7,3,17,21,-10,"A"
"433","NYK","NYK vs. PHI",2021-10-26,"W",240,112,41,87,47.1,16,37,43.2,14,15,93.3,13,32,45,24,7,5,15,18,13,"H"
"434","PHI","PHI @ NYK",2021-10-26,"L",240,99,36,82,43.9,12,41,29.3,15,17,88.2,12,28,40,24,9,4,15,14,-13,"A"
"435","TOR","TOR vs. CHI",2021-10-25,"L",240,108,40,83,48.2,12,30,40,16,20,80,13,34,47,27,8,1,21,18,-3,"H"
"436","CHI","CHI @ TOR",2021-10-25,"W",240,111,39,81,48.1,12,27,44.4,21,22,95.5,5,24,29,24,11,3,13,16,3,"A"
"437","DEN","DEN vs. CLE",2021-10-25,"L",240,87,35,86,40.7,9,38,23.7,8,12,66.7,11,36,47,21,10,3,22,22,-12,"H"
"438","CLE","CLE @ DEN",2021-10-25,"W",240,99,38,82,46.3,7,25,28,16,20,80,11,38,49,26,8,5,16,18,12,"A"
"439","MIN","MIN vs. NOP",2021-10-25,"L",240,98,31,90,34.4,15,50,30,21,27,77.8,11,30,41,20,10,7,11,19,-9,"H"
"440","NOP","NOP @ MIN",2021-10-25,"W",240,107,39,87,44.8,10,30,33.3,19,23,82.6,15,45,60,19,5,5,20,20,9,"A"
"441","POR","POR @ LAC",2021-10-25,"L",240,86,32,85,37.6,8,37,21.6,14,18,77.8,7,40,47,15,11,4,30,18,-30,"A"
"442","LAC","LAC vs. POR",2021-10-25,"W",240,116,44,93,47.3,14,43,32.6,14,19,73.7,5,38,43,37,21,6,17,23,30,"H"
"443","MIL","MIL @ IND",2021-10-25,"W",240,119,41,85,48.2,11,32,34.4,26,31,83.9,7,35,42,24,13,6,14,19,10,"A"
"444","IND","IND vs. MIL",2021-10-25,"L",240,109,40,90,44.4,14,36,38.9,15,17,88.2,12,35,47,23,6,1,19,24,-10,"H"
"445","DET","DET @ ATL",2021-10-25,"L",240,104,40,91,44,9,33,27.3,15,18,83.3,11,25,36,26,7,6,14,15,-18,"A"
"446","ATL","ATL vs. DET",2021-10-25,"W",240,122,46,90,51.1,12,32,37.5,18,21,85.7,10,39,49,24,11,3,16,19,18,"H"
"447","ORL","ORL @ MIA",2021-10-25,"L",240,90,33,81,40.7,12,44,27.3,12,19,63.2,6,33,39,21,7,6,18,22,-17,"A"
"448","MIA","MIA vs. ORL",2021-10-25,"W",240,107,41,87,47.1,6,27,22.2,19,19,100,9,33,42,28,10,2,11,19,17,"H"
"449","BKN","BKN vs. WAS",2021-10-25,"W",240,104,40,94,42.6,10,35,28.6,14,17,82.4,7,47,54,23,6,4,9,19,14,"H"
"450","WAS","WAS @ BKN",2021-10-25,"L",240,90,33,95,34.7,9,39,23.1,15,20,75,10,43,53,16,5,5,12,17,-14,"A"
"451","BOS","BOS @ CHA",2021-10-25,"W",265,140,50,101,49.5,19,50,38,21,25,84,11,42,53,33,8,9,12,23,11,"A"
"452","CHA","CHA vs. BOS",2021-10-25,"L",265,129,46,103,44.7,19,44,43.2,18,28,64.3,14,38,52,26,4,6,14,25,-11,"H"
"453","MEM","MEM @ LAL",2021-10-24,"L",240,118,45,100,45,13,35,37.1,15,18,83.3,18,31,49,25,13,4,17,20,-3,"A"
"454","LAL","LAL vs. MEM",2021-10-24,"W",240,121,45,84,53.6,16,30,53.3,15,22,68.2,9,27,36,29,10,12,17,14,3,"H"
"455","GSW","GSW @ SAC",2021-10-24,"W",240,119,43,97,44.3,13,37,35.1,20,24,83.3,14,29,43,26,12,3,7,13,12,"A"
"456","SAC","SAC vs. GSW",2021-10-24,"L",240,107,42,86,48.8,15,46,32.6,8,13,61.5,10,37,47,26,0,4,19,16,-12,"H"
"457","NYK","NYK vs. ORL",2021-10-24,"L",240,104,37,100,37,13,48,27.1,17,25,68,16,36,52,20,8,8,12,21,-6,"H"
"458","ORL","ORL @ NYK",2021-10-24,"W",240,110,36,88,40.9,12,43,27.9,26,34,76.5,10,47,57,22,7,4,13,25,6,"A"
"459","HOU","HOU vs. BOS",2021-10-24,"L",240,97,32,75,42.7,14,32,43.8,19,24,79.2,5,35,40,20,7,4,20,20,-10,"H"
"460","BOS","BOS @ HOU",2021-10-24,"W",240,107,38,86,44.2,15,47,31.9,16,20,80,6,37,43,22,10,6,12,22,10,"A"
"461","PHI","PHI @ OKC",2021-10-24,"W",240,115,41,88,46.6,17,41,41.5,16,20,80,12,35,47,25,4,9,12,17,12,"A"
"462","OKC","OKC vs. PHI",2021-10-24,"L",240,103,40,84,47.6,8,31,25.8,15,19,78.9,6,36,42,24,9,4,11,17,-12,"H"
"463","BKN","BKN vs. CHA",2021-10-24,"L",240,95,38,87,43.7,9,35,25.7,10,12,83.3,9,35,44,18,10,8,17,19,-16,"H"
"464","CHA","CHA @ BKN",2021-10-24,"W",240,111,43,94,45.7,10,30,33.3,15,19,78.9,10,38,48,26,10,5,12,17,16,"A"
"465","MEM","MEM @ LAC",2021-10-23,"W",240,120,42,90,46.7,15,36,41.7,21,25,84,13,35,48,26,5,3,11,19,6,"A"
"466","LAC","LAC vs. MEM",2021-10-23,"L",240,114,43,99,43.4,13,39,33.3,15,17,88.2,14,30,44,23,7,4,7,21,-6,"H"
"467","POR","POR vs. PHX",2021-10-23,"W",240,134,51,94,54.3,21,50,42,11,17,64.7,8,40,48,24,8,5,9,15,29,"H"
"468","PHX","PHX @ POR",2021-10-23,"L",240,105,43,89,48.3,9,28,32.1,10,15,66.7,7,31,38,27,6,1,14,19,-29,"A"
"469","SAS","SAS vs. MIL",2021-10-23,"L",240,111,48,99,48.5,10,39,25.6,5,6,83.3,10,28,38,29,10,4,13,18,-10,"H"
"470","MIL","MIL @ SAS",2021-10-23,"W",240,121,44,83,53,15,35,42.9,18,22,81.8,7,37,44,21,6,5,22,15,10,"A"
"471","NOP","NOP @ MIN",2021-10-23,"L",240,89,31,89,34.8,9,40,22.5,18,23,78.3,21,40,61,15,10,5,30,22,-7,"A"
"472","MIN","MIN vs. NOP",2021-10-23,"W",240,96,39,96,40.6,12,38,31.6,6,10,60,13,34,47,22,13,8,20,25,7,"H"
"473","CHI","CHI vs. DET",2021-10-23,"W",240,97,35,84,41.7,11,26,42.3,16,19,84.2,3,39,42,24,13,11,13,17,15,"H"
